Time (s)	Load (gf)	Displacement (mm)
8,824	0	0,872
8,837	0	0,874
8,858	0	0,877
8,893	0	0,879
8,906	0	0,881
8,929	2	0,882
8,943	2	0,884
8,965	0	0,886
8,982	0	0,888
8,995	0	0,89
9,02	0	0,892
9,042	0	0,895
9,07	0	0,897
9,088	0	0,898
9,1	0	0,9
9,112	0	0,901
9,131	2	0,903
9,15	2	0,904
9,162	2	0,906
9,178	0	0,907
9,19	0	0,909
9,209	0	0,91
9,221	0	0,913
9,248	0	0,914
9,266	0	0,918
9,294	0	0,919
9,307	0	0,92
9,32	0	0,922
9,334	0	0,923
9,348	0	0,924
9,362	0	0,927
9,389	0	0,928
9,402	0	0,931
9,428	0	0,933
9,448	0	0,936
9,471	0	0,936
9,484	0	0,938
9,496	0	0,939
9,508	0	0,941
9,531	0	0,942
9,543	0	0,944
9,564	0	0,946
9,583	0	0,948
9,596	0	0,949
9,608	0	0,951
9,628	2	0,952
9,64	0	0,954
9,653	0	0,955
9,67	0	0,956
9,682	0	0,959
9,703	0	0,961
9,723	0	0,962
9,736	0	0,964
9,753	0	0,965
9,765	0	0,966
9,777	0	0,967
9,789	0	0,969
9,81	0	0,971
9,838	0	0,974
9,86	0	0,975
9,969	0	0,986
9,982	0	0,988
9,994	0	0,989
10,006	0	0,99
10,018	0	0,991
10,03	0	0,993
10,049	0	0,995
10,065	0	0,997
10,084	0	0,998
10,102	0	1
10,125	0	1,002
10,144	0	1,004
10,163	0	1,006
10,176	0	1,007
10,188	0	1,008
10,2	0	1,01
10,212	0	1,011
10,224	0	1,012
10,236	0	1,013
10,248	0	1,014
10,26	0	1,016
10,272	0	1,017
10,284	0	1,018
10,296	0	1,019
10,308	0	1,02
10,319	0	1,022
10,332	0	1,022
10,344	0	1,024
10,356	0	1,026
10,379	0	1,027
10,391	0	1,028
10,403	0	1,03
10,429	2	1,032
10,447	0	1,034
10,46	0	1,035
10,472	0	1,036
10,49	0	1,038
10,502	0	1,04
10,526	0	1,043
10,544	0	1,044
10,556	0	1,045
10,568	0	1,046
10,58	0	1,05
10,613	0	1,051
10,626	0	1,053
10,658	0	1,055
10,671	0	1,056
10,682	0	1,058
10,695	0	1,059
10,707	0	1,06
10,719	0	1,062
10,74	2	1,064
10,757	2	1,065
10,77	0	1,068
10,8	0	1,07
10,814	0	1,071
10,836	0	1,073
10,849	0	1,075
10,872	0	1,077
10,892	0	1,078
10,905	0	1,08
10,922	0	1,082
10,938	0	1,084
10,96	0	1,086
10,978	0	1,087
10,99	2	1,089
11,014	0	1,092
11,034	0	1,094
11,054	0	1,095
11,076	0	1,097
11,089	0	1,098
11,101	0	1,101
11,131	0	1,104
11,16	2	1,106
11,178	2	1,108
11,204	2	1,11
11,218	0	1,111
11,23	0	1,112
11,242	0	1,115
11,268	0	1,117
11,286	0	1,118
11,303	0	1,12
11,316	0	1,121
11,329	0	1,122
11,341	0	1,124
11,359	0	1,126
11,372	0	1,127
11,395	0	1,13
11,413	0	1,132
11,438	0	1,134
11,461	0	1,136
11,481	2	1,138
11,495	2	1,139
11,514	0	1,142
11,539	0	1,144
11,561	0	1,147
11,59	0	1,149
11,61	0	1,15
11,624	2	1,153
11,644	0	1,154
11,663	0	1,157
11,687	0	1,159
11,708	0	1,161
11,729	0	1,162
11,742	0	1,164
11,758	0	1,166
11,777	0	1,168
11,799	0	1,17
11,818	2	1,172
11,836	0	1,174
11,855	0	1,175
11,867	0	1,176
11,884	0	1,18
11,913	0	1,182
11,935	0	1,184
11,957	0	1,186
11,98	0	1,188
11,994	0	1,189
12,009	0	1,192
12,035	2	1,194
12,054	2	1,196
12,081	0	1,198
12,1	0	1,2
12,119	0	1,202
