gel2_I_2_5mm3	gel2_I_2_5mm3	gel2_I_2_5mm3	
Force	Distance	Time	
g	mm	sec	

2.29516	1.174	117.43	
2.45504	1.174	117.435	
2.55181	1.174	117.44	
2.40035	1.174	117.445	
2.27412	1.174	117.45	
2.39193	1.174	117.455	
2.44242	1.174	117.46	
2.32672	1.174	117.465	
2.25098	1.174	117.47	
2.39614	1.174	117.475	
2.53499	1.174	117.48	
2.41718	1.174	117.485	
2.36038	1.174	117.49	
2.48029	1.174	117.495	
2.56233	1.174	117.5	
2.4298	1.175	117.505	
2.34775	1.175	117.51	
2.46977	1.175	117.515	
2.53499	1.175	117.52	
2.38562	1.175	117.525	
2.28254	1.175	117.53	
2.41718	1.175	117.535	
2.50764	1.175	117.54	
2.36038	1.175	117.545	
2.26781	1.175	117.55	
2.42559	1.175	117.555	
2.5413	1.175	117.56	
2.4319	1.175	117.565	
2.35196	1.175	117.57	
2.48239	1.175	117.575	
2.56233	1.175	117.58	
2.40245	1.175	117.585	
2.28043	1.175	117.59	
2.36458	1.175	117.595	
2.44242	1.175	117.6	
2.34144	1.176	117.605	
2.32251	1.176	117.61	
2.49922	1.176	117.615	
2.58968	1.176	117.62	
2.42559	1.176	117.625	
2.28043	1.176	117.63	
2.39404	1.176	117.635	
2.45925	1.176	117.64	
2.33934	1.176	117.645	
2.28254	1.176	117.65	
2.46346	1.176	117.655	
2.58758	1.176	117.66	
2.46346	1.176	117.665	
2.34565	1.176	117.67	
2.42349	1.176	117.675	
2.45294	1.176	117.68	
2.3162	1.176	117.685	
2.2615	1.176	117.69	
2.38772	1.176	117.695	
2.51605	1.176	117.7	
2.44032	1.177	117.705	
2.40666	1.177	117.71	
2.56023	1.177	117.715	
2.59599	1.177	117.72	
2.37089	1.177	117.725	
2.23626	1.177	117.73	
2.40035	1.177	117.735	
2.49081	1.177	117.74	
2.37089	1.177	117.745	
2.30358	1.177	117.75	
2.45925	1.177	117.755	
2.56444	1.177	117.76	
2.38352	1.177	117.765	
2.2636	1.177	117.77	
2.38983	1.177	117.775	
2.4866	1.177	117.78	
2.37931	1.177	117.785	
2.33934	1.177	117.79	
2.46346	1.177	117.795	
2.54971	1.177	117.8	
2.4277	1.178	117.805	
2.36458	1.178	117.81	
2.50343	1.178	117.815	
2.57916	1.178	117.82	
2.40245	1.178	117.825	
2.30778	1.178	117.83	
2.44663	1.178	117.835	
2.51816	1.178	117.84	
2.36038	1.178	117.845	
2.28885	1.178	117.85	
2.43821	1.178	117.855	
2.52657	1.178	117.86	
2.41718	1.178	117.865	
2.36458	1.178	117.87	
2.52026	1.178	117.875	
2.57706	1.178	117.88	
2.40245	1.178	117.885	
2.32251	1.178	117.89	
2.46977	1.178	117.895	
2.53288	1.178	117.9	
2.373	1.179	117.905	
2.30778	1.179	117.91	
2.45925	1.179	117.915	
2.52236	1.179	117.92	
2.34144	1.179	117.925	
2.2636	1.179	117.93	
2.45504	1.179	117.935	
2.53709	1.179	117.94	
2.37721	1.179	117.945	
2.27623	1.179	117.95	
2.42349	1.179	117.955	
2.49081	1.179	117.96	
2.34565	1.179	117.965	
2.27412	1.179	117.97	
2.44032	1.179	117.975	
2.53919	1.179	117.98	
2.41718	1.179	117.985	
2.33724	1.179	117.99	
2.47608	1.179	117.995	
2.55181	1.179	118	
2.40876	1.18	118.005	
2.37089	1.18	118.01	
2.55181	1.18	118.015	
2.61913	1.18	118.02	
2.4298	1.18	118.025	
2.31409	1.18	118.03	
2.46767	1.18	118.035	
2.52026	1.18	118.04	
2.33092	1.18	118.045	
2.23205	1.18	118.05	
2.38983	1.18	118.055	
2.48029	1.18	118.06	
2.36458	1.18	118.065	
2.30989	1.18	118.07	
2.46767	1.18	118.075	
2.58127	1.18	118.08	
2.44663	1.18	118.085	
2.37931	1.18	118.09	
2.50343	1.18	118.095	
2.56233	1.18	118.1	
2.40876	1.181	118.105	
2.34775	1.181	118.11	
2.51395	1.181	118.115	
2.59599	1.181	118.12	
2.41297	1.181	118.125	
2.30147	1.181	118.13	
2.44032	1.181	118.135	
2.49291	1.181	118.14	
2.32041	1.181	118.145	
2.21732	1.181	118.15	
2.35407	1.181	118.155	
2.46135	1.181	118.16	
2.34565	1.181	118.165	
2.29937	1.181	118.17	
2.46135	1.181	118.175	
2.57496	1.181	118.18	
2.45925	1.181	118.185	
2.35196	1.181	118.19	
2.46767	1.181	118.195	
2.51395	1.181	118.2	
2.3751	1.182	118.205	
2.31409	1.182	118.21	
2.47398	1.182	118.215	
2.57706	1.182	118.22	
2.41928	1.182	118.225	
2.32882	1.182	118.23	
2.44242	1.182	118.235	
2.51605	1.182	118.24	
2.34775	1.182	118.245	
2.2636	1.182	118.25	
2.44032	1.182	118.255	
2.52867	1.182	118.26	
2.41718	1.182	118.265	
2.35617	1.182	118.27	
2.50133	1.182	118.275	
2.58337	1.182	118.28	
2.42559	1.182	118.285	
2.3183	1.182	118.29	
2.4298	1.182	118.295	
2.52447	1.182	118.3	
2.41718	1.183	118.305	
2.36879	1.183	118.31	
2.52447	1.183	118.315	
2.61913	1.183	118.32	
2.40666	1.183	118.325	
2.29937	1.183	118.33	
2.4277	1.183	118.335	
2.50764	1.183	118.34	
2.35617	1.183	118.345	
2.28675	1.183	118.35	
2.46135	1.183	118.355	
2.55181	1.183	118.36	
2.40455	1.183	118.365	
2.34355	1.183	118.37	
2.47187	1.183	118.375	
2.57075	1.183	118.38	
2.42138	1.183	118.385	
2.35617	1.183	118.39	
2.50343	1.183	118.395	
2.58758	1.183	118.4	
2.44453	1.184	118.405	
2.3751	1.184	118.41	
2.53078	1.184	118.415	
2.58968	1.184	118.42	
2.36879	1.184	118.425	
2.24678	1.184	118.43	
2.40245	1.184	118.435	
2.52657	1.184	118.44	
2.37721	1.184	118.445	
2.30358	1.184	118.45	
2.44873	1.184	118.455	
2.53499	1.184	118.46	
2.37721	1.184	118.465	
2.29306	1.184	118.47	
2.41928	1.184	118.475	
2.49501	1.184	118.48	
2.373	1.184	118.485	
2.32041	1.184	118.49	
2.49922	1.184	118.495	
2.58547	1.184	118.5	
2.45294	1.185	118.505	
2.35617	1.185	118.51	
2.50974	1.185	118.515	
2.58547	1.185	118.52	
2.38562	1.185	118.525	
2.25309	1.185	118.53	
2.42138	1.185	118.535	
2.54761	1.185	118.54	
2.41297	1.185	118.545	
2.34565	1.185	118.55	
2.50553	1.185	118.555	
2.61282	1.185	118.56	
2.43401	1.185	118.565	
2.30989	1.185	118.57	
2.4298	1.185	118.575	
2.50764	1.185	118.58	
2.39193	1.185	118.585	
2.34355	1.185	118.59	
2.4887	1.185	118.595	
2.58547	1.185	118.6	
2.45504	1.186	118.605	
2.36248	1.186	118.61	
2.50764	1.186	118.615	
2.55392	1.186	118.62	
2.36879	1.186	118.625	
2.29516	1.186	118.63	
2.44663	1.186	118.635	
2.56233	1.186	118.64	
2.41297	1.186	118.645	
2.34565	1.186	118.65	
2.47187	1.186	118.655	
2.53078	1.186	118.66	
2.3751	1.186	118.665	
2.28885	1.186	118.67	
2.42349	1.186	118.675	
2.50553	1.186	118.68	
2.38562	1.186	118.685	
2.31199	1.186	118.69	
2.48029	1.186	118.695	
2.55602	1.186	118.7	
2.43401	1.187	118.705	
2.37089	1.187	118.71	
2.53709	1.187	118.715	
2.59389	1.187	118.72	
2.38772	1.187	118.725	
2.30568	1.187	118.73	
2.44032	1.187	118.735	
2.5413	1.187	118.74	
2.40035	1.187	118.745	
2.33934	1.187	118.75	
2.46977	1.187	118.755	
2.55813	1.187	118.76	
2.42559	1.187	118.765	
2.34986	1.187	118.77	
2.45294	1.187	118.775	
2.52867	1.187	118.78	
2.40876	1.187	118.785	
2.34144	1.187	118.79	
2.46767	1.187	118.795	
2.54761	1.187	118.8	
2.44032	1.188	118.805	
2.37721	1.188	118.81	
2.53078	1.188	118.815	
2.59599	1.188	118.82	
2.41087	1.188	118.825	
2.33092	1.188	118.83	
2.48029	1.188	118.835	
2.54761	1.188	118.84	
2.39824	1.188	118.845	
2.32041	1.188	118.85	
2.45084	1.188	118.855	
2.52026	1.188	118.86	
2.3751	1.188	118.865	
2.30778	1.188	118.87	
2.45294	1.188	118.875	
2.53709	1.188	118.88	
2.40666	1.188	118.885	
2.33724	1.188	118.89	
2.46767	1.188	118.895	
2.52657	1.188	118.9	
2.40245	1.189	118.905	
2.35196	1.189	118.91	
2.51816	1.189	118.915	
2.60862	1.189	118.92	
2.43611	1.189	118.925	
2.35407	1.189	118.93	
2.49501	1.189	118.935	
2.55813	1.189	118.94	
2.41297	1.189	118.945	
2.29306	1.189	118.95	
2.44873	1.189	118.955	
2.5455	1.189	118.96	
2.42138	1.189	118.965	
2.35407	1.189	118.97	
2.46556	1.189	118.975	
2.52657	1.189	118.98	
2.38141	1.189	118.985	
2.30568	1.189	118.99	
2.44873	1.189	118.995	
2.55813	1.189	119	
2.4845	1.19	119.005	
2.4277	1.19	119.01	
2.60862	1.19	119.015	
2.66752	1.19	119.02	
2.4866	1.19	119.025	
2.34775	1.19	119.03	
2.43821	1.19	119.035	
2.49501	1.19	119.04	
2.34355	1.19	119.045	
2.28885	1.19	119.05	
2.44032	1.19	119.055	
2.53499	1.19	119.06	
2.41297	1.19	119.065	
2.35407	1.19	119.07	
2.49712	1.19	119.075	
2.56444	1.19	119.08	
2.44032	1.19	119.085	
2.36248	1.19	119.09	
2.50974	1.19	119.095	
2.59179	1.19	119.1	
2.45504	1.191	119.105	
2.36458	1.191	119.11	
2.50553	1.191	119.115	
2.56444	1.191	119.12	
2.36879	1.191	119.125	
2.2636	1.191	119.13	
2.42349	1.191	119.135	
2.51605	1.191	119.14	
2.40455	1.191	119.145	
2.32251	1.191	119.15	
2.48239	1.191	119.155	
2.55602	1.191	119.16	
2.41928	1.191	119.165	
2.33303	1.191	119.17	
2.46977	1.191	119.175	
2.56864	1.191	119.18	
2.45294	1.191	119.185	
2.38983	1.191	119.19	
2.51395	1.191	119.195	
2.58127	1.191	119.2	
2.41718	1.192	119.205	
2.34565	1.192	119.21	
2.52026	1.192	119.215	
2.57706	1.192	119.22	
2.40666	1.192	119.225	
2.33092	1.192	119.23	
2.50133	1.192	119.235	
2.57916	1.192	119.24	
2.41718	1.192	119.245	
2.33934	1.192	119.25	
2.48029	1.192	119.255	
2.55813	1.192	119.26	
2.40876	1.192	119.265	
2.32041	1.192	119.27	
2.4866	1.192	119.275	
2.57285	1.192	119.28	
2.4298	1.192	119.285	
2.33303	1.192	119.29	
2.47818	1.192	119.295	
2.57075	1.192	119.3	
2.42559	1.193	119.305	
2.36669	1.193	119.31	
2.5455	1.193	119.315	
2.64227	1.193	119.32	
2.46556	1.193	119.325	
2.36248	1.193	119.33	
2.48239	1.193	119.335	
2.5434	1.193	119.34	
2.38772	1.193	119.345	
2.27623	1.193	119.35	
2.43611	1.193	119.355	
2.53078	1.193	119.36	
2.38983	1.193	119.365	
2.30989	1.193	119.37	
2.45925	1.193	119.375	
2.56233	1.193	119.38	
2.4319	1.193	119.385	
2.373	1.193	119.39	
2.51184	1.193	119.395	
2.6023	1.193	119.4	
2.47818	1.194	119.405	
2.38772	1.194	119.41	
2.53709	1.194	119.415	
2.59179	1.194	119.42	
2.39824	1.194	119.425	
2.27623	1.194	119.43	
2.39614	1.194	119.435	
2.49081	1.194	119.44	
2.38562	1.194	119.445	
2.33513	1.194	119.45	
2.50553	1.194	119.455	
2.63596	1.194	119.46	
2.51816	1.194	119.465	
2.41928	1.194	119.47	
2.50974	1.194	119.475	
2.57496	1.194	119.48	
2.41507	1.194	119.485	
2.3183	1.194	119.49	
2.44453	1.194	119.495	
2.55181	1.194	119.5	
2.47187	1.195	119.505	
2.39824	1.195	119.51	
2.5455	1.195	119.515	
2.58968	1.195	119.52	
2.38352	1.195	119.525	
2.27412	1.195	119.53	
2.41928	1.195	119.535	
2.52236	1.195	119.54	
2.4319	1.195	119.545	
2.39404	1.195	119.55	
2.55813	1.195	119.555	
2.63176	1.195	119.56	
2.47818	1.195	119.565	
2.34144	1.195	119.57	
2.41087	1.195	119.575	
2.45715	1.195	119.58	
2.36669	1.195	119.585	
2.34775	1.195	119.59	
2.51816	1.195	119.595	
2.62545	1.195	119.6	
2.53078	1.196	119.605	
2.47187	1.196	119.61	
2.57916	1.196	119.615	
2.59599	1.196	119.62	
2.38772	1.196	119.625	
2.29726	1.196	119.63	
2.46767	1.196	119.635	
2.56444	1.196	119.64	
2.41718	1.196	119.645	
2.33934	1.196	119.65	
2.45715	1.196	119.655	
2.52026	1.196	119.66	
2.36248	1.196	119.665	
2.28885	1.196	119.67	
2.46977	1.196	119.675	
2.59599	1.196	119.68	
2.49712	1.196	119.685	
2.41718	1.196	119.69	
2.55602	1.196	119.695	
2.61282	1.196	119.7	
2.47608	1.197	119.705	
2.39193	1.197	119.71	
2.56233	1.197	119.715	
2.62334	1.197	119.72	
2.43401	1.197	119.725	
2.33092	1.197	119.73	
2.47187	1.197	119.735	
2.52867	1.197	119.74	
2.35827	1.197	119.745	
2.2636	1.197	119.75	
2.44873	1.197	119.755	
2.57706	1.197	119.76	
2.45294	1.197	119.765	
2.40245	1.197	119.77	
2.56023	1.197	119.775	
2.65279	1.197	119.78	
2.50553	1.197	119.785	
2.39193	1.197	119.79	
2.49291	1.197	119.795	
2.53919	1.197	119.8	
2.38562	1.198	119.805	
2.34144	1.198	119.81	
2.51605	1.198	119.815	
2.58968	1.198	119.82	
2.43821	1.198	119.825	
2.34144	1.198	119.83	
2.50764	1.198	119.835	
2.57075	1.198	119.84	
2.40455	1.198	119.845	
2.34775	1.198	119.85	
2.50974	1.198	119.855	
2.61493	1.198	119.86	
2.45294	1.198	119.865	
2.37089	1.198	119.87	
2.52867	1.198	119.875	
2.6023	1.198	119.88	
2.44032	1.198	119.885	
2.34775	1.198	119.89	
2.47398	1.198	119.895	
2.55602	1.198	119.9	
2.43401	1.199	119.905	
2.36879	1.199	119.91	
2.55602	1.199	119.915	
2.61913	1.199	119.92	
2.44032	1.199	119.925	
2.33303	1.199	119.93	
2.46135	1.199	119.935	
2.5413	1.199	119.94	
2.38772	1.199	119.945	
2.33934	1.199	119.95	
2.50553	1.199	119.955	
2.60862	1.199	119.96	
2.46135	1.199	119.965	
2.38562	1.199	119.97	
2.51605	1.199	119.975	
2.59389	1.199	119.98	
2.44032	1.199	119.985	
2.37089	1.199	119.99	
2.51395	1.199	119.995	
2.58758	1.199	120	
2.44242	1.2	120.005	
2.38983	1.2	120.01	
2.55181	1.2	120.015	
2.61913	1.2	120.02	
2.41718	1.2	120.025	
2.34775	1.2	120.03	
2.49922	1.2	120.035	
2.57706	1.2	120.04	
2.41087	1.2	120.045	
2.32882	1.2	120.05	
2.4866	1.2	120.055	
2.59389	1.2	120.06	
2.48029	1.2	120.065	
2.41297	1.2	120.07	
2.56023	1.2	120.075	
2.64438	1.2	120.08	
2.50343	1.2	120.085	
2.41507	1.2	120.09	
2.50764	1.2	120.095	
2.52867	1.2	120.1	
2.36879	1.201	120.105	
2.29726	1.201	120.11	
2.49081	1.201	120.115	
2.58337	1.201	120.12	
2.41718	1.201	120.125	
2.37721	1.201	120.13	
2.5413	1.201	120.135	
2.59389	1.201	120.14	
2.4277	1.201	120.145	
2.32251	1.201	120.15	
2.4866	1.201	120.155	
2.58337	1.201	120.16	
2.46977	1.201	120.165	
2.38562	1.201	120.17	
2.49712	1.201	120.175	
2.57706	1.201	120.18	
2.41507	1.201	120.185	
2.35407	1.201	120.19	
2.47608	1.201	120.195	
2.56864	1.201	120.2	
2.46556	1.202	120.205	
2.41297	1.202	120.21	
2.57496	1.202	120.215	
2.64017	1.202	120.22	
2.44242	1.202	120.225	
2.34144	1.202	120.23	
2.50553	1.202	120.235	
2.57496	1.202	120.24	
2.42559	1.202	120.245	
2.36669	1.202	120.25	
2.53288	1.202	120.255	
2.61282	1.202	120.26	
2.45925	1.202	120.265	
2.39193	1.202	120.27	
2.51605	1.202	120.275	
2.58337	1.202	120.28	
2.44873	1.202	120.285	
2.36879	1.202	120.29	
2.52447	1.202	120.295	
2.61703	1.202	120.3	
2.48239	1.203	120.305	
2.41718	1.203	120.31	
2.56233	1.203	120.315	
2.61493	1.203	120.32	
2.43401	1.203	120.325	
2.36248	1.203	120.33	
2.53709	1.203	120.335	
2.61703	1.203	120.34	
2.48239	1.203	120.345	
2.3751	1.203	120.35	
2.51816	1.203	120.355	
2.59389	1.203	120.36	
2.44242	1.203	120.365	
2.36879	1.203	120.37	
2.50974	1.203	120.375	
2.61072	1.203	120.38	
2.48029	1.203	120.385	
2.41928	1.203	120.39	
2.52867	1.203	120.395	
2.59179	1.203	120.4	
2.41718	1.204	120.405	
2.3183	1.204	120.41	
2.49291	1.204	120.415	
2.60862	1.204	120.42	
2.44873	1.204	120.425	
2.36879	1.204	120.43	
2.52657	1.204	120.435	
2.60651	1.204	120.44	
2.44032	1.204	120.445	
2.34986	1.204	120.45	
2.46346	1.204	120.455	
2.55813	1.204	120.46	
2.45084	1.204	120.465	
2.38141	1.204	120.47	
2.55392	1.204	120.475	
2.61913	1.204	120.48	
2.47608	1.204	120.485	
2.38141	1.204	120.49	
2.48239	1.204	120.495	
2.53499	1.204	120.5	
2.38983	1.205	120.505	
2.32672	1.205	120.51	
2.53709	1.205	120.515	
2.64017	1.205	120.52	
2.45925	1.205	120.525	
2.36879	1.205	120.53	
2.49922	1.205	120.535	
2.56444	1.205	120.54	
2.38983	1.205	120.545	
2.33724	1.205	120.55	
2.51816	1.205	120.555	
2.62755	1.205	120.56	
2.4887	1.205	120.565	
2.41928	1.205	120.57	
2.55602	1.205	120.575	
2.60441	1.205	120.58	
2.42138	1.205	120.585	
2.3183	1.205	120.59	
2.44873	1.205	120.595	
2.55813	1.205	120.6	
2.44242	1.206	120.605	
2.39404	1.206	120.61	
2.57075	1.206	120.615	
2.65279	1.206	120.62	
2.46135	1.206	120.625	
2.36458	1.206	120.63	
2.52236	1.206	120.635	
2.61703	1.206	120.64	
2.47398	1.206	120.645	
2.38983	1.206	120.65	
2.52657	1.206	120.655	
2.61282	1.206	120.66	
2.45925	1.206	120.665	
2.38352	1.206	120.67	
2.52236	1.206	120.675	
2.6002	1.206	120.68	
2.46346	1.206	120.685	
2.38772	1.206	120.69	
2.50343	1.206	120.695	
2.59179	1.206	120.7	
2.44242	1.207	120.705	
2.373	1.207	120.71	
2.53709	1.207	120.715	
2.62755	1.207	120.72	
2.45504	1.207	120.725	
2.38983	1.207	120.73	
2.56444	1.207	120.735	
2.66331	1.207	120.74	
2.49081	1.207	120.745	
2.38352	1.207	120.75	
2.50133	1.207	120.755	
2.57706	1.207	120.76	
2.44873	1.207	120.765	
2.37931	1.207	120.77	
2.53499	1.207	120.775	
2.62755	1.207	120.78	
2.50133	1.207	120.785	
2.39614	1.207	120.79	
2.50343	1.207	120.795	
2.56023	1.207	120.8	
2.42138	1.208	120.805	
2.33934	1.208	120.81	
2.50133	1.208	120.815	
2.58758	1.208	120.82	
2.46135	1.208	120.825	
2.39404	1.208	120.83	
2.55181	1.208	120.835	
2.6549	1.208	120.84	
2.49081	1.208	120.845	
2.38772	1.208	120.85	
2.50974	1.208	120.855	
2.58547	1.208	120.86	
2.46977	1.208	120.865	
2.40035	1.208	120.87	
2.54761	1.208	120.875	
2.5981	1.208	120.88	
2.44242	1.208	120.885	
2.35196	1.208	120.89	
2.4298	1.208	120.895	
2.50343	1.208	120.9	
2.39404	1.209	120.905	
2.36248	1.209	120.91	
2.57285	1.209	120.915	
2.68645	1.209	120.92	
2.53709	1.209	120.925	
2.45084	1.209	120.93	
2.58127	1.209	120.935	
2.64017	1.209	120.94	
2.45084	1.209	120.945	
2.34565	1.209	120.95	
2.49081	1.209	120.955	
2.58127	1.209	120.96	
2.45925	1.209	120.965	
2.40035	1.209	120.97	
2.5455	1.209	120.975	
2.60441	1.209	120.98	
2.46556	1.209	120.985	
2.37089	1.209	120.99	
2.48029	1.209	120.995	
2.56864	1.209	121	
2.47608	1.21	121.005	
2.44032	1.21	121.01	
2.63386	1.21	121.015	
2.7117	1.21	121.02	
2.51184	1.21	121.025	
2.39404	1.21	121.03	
2.51605	1.21	121.035	
2.58127	1.21	121.04	
2.41718	1.21	121.045	
2.35196	1.21	121.05	
2.51605	1.21	121.055	
2.62965	1.21	121.06	
2.48029	1.21	121.065	
2.39824	1.21	121.07	
2.52867	1.21	121.075	
2.61493	1.21	121.08	
2.46135	1.21	121.085	
2.37089	1.21	121.09	
2.49501	1.21	121.095	
2.57285	1.21	121.1	
2.46767	1.211	121.105	
2.43611	1.211	121.11	
2.61703	1.211	121.115	
2.66752	1.211	121.12	
2.45715	1.211	121.125	
2.35407	1.211	121.13	
2.51184	1.211	121.135	
2.59599	1.211	121.14	
2.45084	1.211	121.145	
2.3751	1.211	121.15	
2.53288	1.211	121.155	
2.6023	1.211	121.16	
2.45925	1.211	121.165	
2.36669	1.211	121.17	
2.50133	1.211	121.175	
2.59599	1.211	121.18	
2.47818	1.211	121.185	
2.41507	1.211	121.19	
2.50974	1.211	121.195	
2.57285	1.211	121.2	
2.44032	1.212	121.205	
2.36669	1.212	121.21	
2.55392	1.212	121.215	
2.66962	1.212	121.22	
2.53078	1.212	121.225	
2.46135	1.212	121.23	
2.61282	1.212	121.235	
2.66962	1.212	121.24	
2.4866	1.212	121.245	
2.37931	1.212	121.25	
2.49501	1.212	121.255	
2.58547	1.212	121.26	
2.44453	1.212	121.265	
2.39824	1.212	121.27	
2.52447	1.212	121.275	
2.60651	1.212	121.28	
2.48029	1.212	121.285	
2.39614	1.212	121.29	
2.50553	1.212	121.295	
2.57496	1.212	121.3	
2.44032	1.213	121.305	
2.39193	1.213	121.31	
2.59179	1.213	121.315	
2.68225	1.213	121.32	
2.52236	1.213	121.325	
2.4319	1.213	121.33	
2.54761	1.213	121.335	
2.58968	1.213	121.34	
2.41297	1.213	121.345	
2.35617	1.213	121.35	
2.50553	1.213	121.355	
2.6023	1.213	121.36	
2.49922	1.213	121.365	
2.44453	1.213	121.37	
2.58758	1.213	121.375	
2.64227	1.213	121.38	
2.4845	1.213	121.385	
2.38562	1.213	121.39	
2.53288	1.213	121.395	
2.58758	1.213	121.4	
2.45294	1.214	121.405	
2.41087	1.214	121.41	
2.56023	1.214	121.415	
2.63807	1.214	121.42	
2.47398	1.214	121.425	
2.39193	1.214	121.43	
2.5455	1.214	121.435	
2.61072	1.214	121.44	
2.47818	1.214	121.445	
2.41507	1.214	121.45	
2.56864	1.214	121.455	
2.63596	1.214	121.46	
2.47608	1.214	121.465	
2.37931	1.214	121.47	
2.49291	1.214	121.475	
2.56654	1.214	121.48	
2.40876	1.214	121.485	
2.35827	1.214	121.49	
2.49291	1.214	121.495	
2.56864	1.214	121.5	
2.44242	1.215	121.505	
2.38562	1.215	121.51	
2.55602	1.215	121.515	
2.62965	1.215	121.52	
2.49081	1.215	121.525	
2.42559	1.215	121.53	
2.61072	1.215	121.535	
2.68225	1.215	121.54	
2.51816	1.215	121.545	
2.39404	1.215	121.55	
2.51605	1.215	121.555	
2.57075	1.215	121.56	
2.41507	1.215	121.565	
2.36038	1.215	121.57	
2.49712	1.215	121.575	
2.58547	1.215	121.58	
2.45504	1.215	121.585	
2.37721	1.215	121.59	
2.48029	1.215	121.595	
2.54761	1.215	121.6	
2.44873	1.216	121.605	
2.43821	1.216	121.61	
2.64227	1.216	121.615	
2.73694	1.216	121.62	
2.55392	1.216	121.625	
2.44242	1.216	121.63	
2.5455	1.216	121.635	
2.58127	1.216	121.64	
2.40666	1.216	121.645	
2.32041	1.216	121.65	
2.48239	1.216	121.655	
2.58127	1.216	121.66	
2.46346	1.216	121.665	
2.40876	1.216	121.67	
2.55813	1.216	121.675	
2.61282	1.216	121.68	
2.47187	1.216	121.685	
2.37931	1.216	121.69	
2.51184	1.216	121.695	
2.61072	1.216	121.7	
2.53709	1.217	121.705	
2.51395	1.217	121.71	
2.69066	1.217	121.715	
2.73484	1.217	121.72	
2.49501	1.217	121.725	
2.38983	1.217	121.73	
2.50343	1.217	121.735	
2.56233	1.217	121.74	
2.40035	1.217	121.745	
2.34144	1.217	121.75	
2.52657	1.217	121.755	
2.65069	1.217	121.76	
2.50764	1.217	121.765	
2.44032	1.217	121.77	
2.58968	1.217	121.775	
2.6591	1.217	121.78	
2.49712	1.217	121.785	
2.42138	1.217	121.79	
2.54971	1.217	121.795	
2.61913	1.217	121.8	
2.48029	1.218	121.805	
2.42138	1.218	121.81	
2.6023	1.218	121.815	
2.64859	1.218	121.82	
2.44453	1.218	121.825	
2.36458	1.218	121.83	
2.53709	1.218	121.835	
2.62965	1.218	121.84	
2.44032	1.218	121.845	
2.37931	1.218	121.85	
2.55813	1.218	121.855	
2.63807	1.218	121.86	
2.4845	1.218	121.865	
2.42138	1.218	121.87	
2.59389	1.218	121.875	
2.66962	1.218	121.88	
2.50764	1.218	121.885	
2.41087	1.218	121.89	
2.55181	1.218	121.895	
2.62755	1.218	121.9	
2.47608	1.219	121.905	
2.42349	1.219	121.91	
2.58968	1.219	121.915	
2.67173	1.219	121.92	
2.48029	1.219	121.925	
2.36248	1.219	121.93	
2.54971	1.219	121.935	
2.63176	1.219	121.94	
2.47608	1.219	121.945	
2.37931	1.219	121.95	
2.55392	1.219	121.955	
2.64648	1.219	121.96	
2.49501	1.219	121.965	
2.41087	1.219	121.97	
2.5455	1.219	121.975	
2.65279	1.219	121.98	
2.50553	1.219	121.985	
2.39824	1.219	121.99	
2.53288	1.219	121.995	
2.61282	1.219	122	
2.4845	1.22	122.005	
2.42138	1.22	122.01	
2.60651	1.22	122.015	
2.67593	1.22	122.02	
2.4845	1.22	122.025	
2.33513	1.22	122.03	
2.48029	1.22	122.035	
2.60441	1.22	122.04	
2.4845	1.22	122.045	
2.39614	1.22	122.05	
2.55392	1.22	122.055	
2.6549	1.22	122.06	
2.50553	1.22	122.065	
2.38772	1.22	122.07	
2.50553	1.22	122.075	
2.61072	1.22	122.08	
2.50133	1.22	122.085	
2.44873	1.22	122.09	
2.58127	1.22	122.095	
2.657	1.22	122.1	
2.53078	1.221	122.105	
2.44242	1.221	122.11	
2.57706	1.221	122.115	
2.64648	1.221	122.12	
2.47398	1.221	122.125	
2.38141	1.221	122.13	
2.52657	1.221	122.135	
2.60862	1.221	122.14	
2.46346	1.221	122.145	
2.38352	1.221	122.15	
2.50553	1.221	122.155	
2.61913	1.221	122.16	
2.50343	1.221	122.165	
2.42559	1.221	122.17	
2.57285	1.221	122.175	
2.67593	1.221	122.18	
2.57075	1.221	122.185	
2.47398	1.221	122.19	
2.58758	1.221	122.195	
2.65069	1.221	122.2	
2.50764	1.222	122.205	
2.42349	1.222	122.21	
2.53499	1.222	122.215	
2.61493	1.222	122.22	
2.46767	1.222	122.225	
2.38141	1.222	122.23	
2.53709	1.222	122.235	
2.63596	1.222	122.24	
2.51816	1.222	122.245	
2.4277	1.222	122.25	
2.57075	1.222	122.255	
2.64648	1.222	122.26	
2.51816	1.222	122.265	
2.45925	1.222	122.27	
2.6023	1.222	122.275	
2.69487	1.222	122.28	
2.56864	1.222	122.285	
2.47398	1.222	122.29	
2.57075	1.222	122.295	
2.62545	1.222	122.3	
2.47818	1.223	122.305	
2.37931	1.223	122.31	
2.51605	1.223	122.315	
2.55813	1.223	122.32	
2.4298	1.223	122.325	
2.36248	1.223	122.33	
2.53288	1.223	122.335	
2.64227	1.223	122.34	
2.49291	1.223	122.345	
2.41297	1.223	122.35	
2.55602	1.223	122.355	
2.62965	1.223	122.36	
2.50343	1.223	122.365	
2.42559	1.223	122.37	
2.61282	1.223	122.375	
2.68856	1.223	122.38	
2.55181	1.223	122.385	
2.45294	1.223	122.39	
2.57706	1.223	122.395	
2.63176	1.223	122.4	
2.4887	1.224	122.405	
