water2	water2	water2	
Force	Distance	Time	
g	mm	sec	

0.157852	0.839	1.68	
0.115758	0.842	1.685	
0.0799781	0.844	1.69	
0.0652453	0.847	1.695	
0.0441984	0.849	1.7	
0.0463031	0.852	1.705	
0.033675	0.854	1.71	
0.0505125	0.857	1.715	
0.10313	0.859	1.72	
0.06735	0.862	1.725	
0.101025	0.864	1.73	
0.101025	0.867	1.735	
0.105234	0.869	1.74	
0.111548	0.872	1.745	
0.0715594	0.874	1.75	
0.0989203	0.877	1.755	
0.0968156	0.879	1.76	
0.0841875	0.882	1.765	
0.0757688	0.884	1.77	
0.0778734	0.887	1.775	
0.0841875	0.889	1.78	
0.0883969	0.892	1.785	
0.0631406	0.894	1.79	
0.0694547	0.897	1.795	
0.0968156	0.899	1.8	
0.0778734	0.902	1.805	
0.0799781	0.904	1.81	
0.0799781	0.907	1.815	
0.0694547	0.909	1.82	
0.0926063	0.912	1.825	
0.0989203	0.914	1.83	
0.113653	0.917	1.835	
0.109444	0.919	1.84	
0.0989203	0.922	1.845	
0.0862922	0.924	1.85	
0.0778734	0.927	1.855	
0.06735	0.929	1.86	
0.0547219	0.932	1.865	
0.0505125	0.934	1.87	
0.0631406	0.937	1.875	
0.105234	0.939	1.88	
0.0926063	0.942	1.885	
0.101025	0.944	1.89	
0.107339	0.947	1.895	
0.0841875	0.949	1.9	
0.0799781	0.952	1.905	
0.0652453	0.954	1.91	
0.0568266	0.957	1.915	
0.06735	0.959	1.92	
0.0547219	0.962	1.925	
0.0820828	0.964	1.93	
0.0968156	0.967	1.935	
0.0757688	0.969	1.94	
0.115758	0.972	1.945	
0.107339	0.974	1.95	
0.109444	0.977	1.955	
0.0905016	0.979	1.96	
0.0694547	0.982	1.965	
0.105234	0.984	1.97	
0.101025	0.987	1.975	
0.0947109	0.989	1.98	
0.122072	0.992	1.985	
0.130491	0.994	1.99	
0.126281	0.997	1.995	
0.0905016	0.999	2	
0.0399891	1.002	2.005	
0.0399891	1.004	2.01	
0.0484078	1.007	2.015	
0.0547219	1.009	2.02	
0.0926063	1.012	2.025	
0.0947109	1.014	2.03	
0.128386	1.017	2.035	
0.119967	1.019	2.04	
0.126281	1.022	2.045	
0.149433	1.024	2.05	
0.126281	1.027	2.055	
0.124177	1.029	2.06	
0.126281	1.032	2.065	
0.107339	1.034	2.07	
0.0778734	1.037	2.075	
0.0420938	1.039	2.08	
0.0168375	1.042	2.085	
-0.00631406	1.044	2.09	
0	1.047	2.095	
0.0126281	1.049	2.1	
0.0631406	1.052	2.105	
0.101025	1.054	2.11	
0.153642	1.057	2.115	
0.168375	1.059	2.12	
0.164166	1.062	2.125	
0.147328	1.064	2.13	
0.141014	1.067	2.135	
0.115758	1.069	2.14	
0.124177	1.072	2.145	
0.10313	1.074	2.15	
0.0778734	1.077	2.155	
0.0568266	1.079	2.16	
0.0441984	1.082	2.165	
0.0420938	1.084	2.17	
0.0420938	1.087	2.175	
0.0589313	1.089	2.18	
0.109444	1.092	2.185	
0.128386	1.094	2.19	
0.147328	1.097	2.195	
0.164166	1.099	2.2	
0.136805	1.102	2.205	
0.132595	1.104	2.21	
0.117863	1.107	2.215	
0.0820828	1.109	2.22	
0.06735	1.112	2.225	
0.0526172	1.114	2.23	
0.0610359	1.117	2.235	
0.0526172	1.119	2.24	
0.033675	1.122	2.245	
0.0441984	1.124	2.25	
0.0547219	1.127	2.255	
0.0799781	1.129	2.26	
0.122072	1.132	2.265	
0.109444	1.134	2.27	
0.101025	1.137	2.275	
0.0947109	1.139	2.28	
0.0947109	1.142	2.285	
0.107339	1.144	2.29	
0.0820828	1.147	2.295	
0.06735	1.149	2.3	
0.0736641	1.152	2.305	
0.0778734	1.154	2.31	
0.0820828	1.157	2.315	
0.0778734	1.159	2.32	
0.0862922	1.162	2.325	
0.0968156	1.164	2.33	
0.113653	1.167	2.335	
0.124177	1.169	2.34	
0.126281	1.172	2.345	
0.109444	1.174	2.35	
0.0820828	1.177	2.355	
0.0968156	1.179	2.36	
0.0757688	1.182	2.365	
0.0610359	1.184	2.37	
0.0357797	1.187	2.375	
0.0420938	1.189	2.38	
0.0505125	1.192	2.385	
0.0463031	1.194	2.39	
0.0694547	1.197	2.395	
0.105234	1.199	2.4	
0.109444	1.202	2.405	
0.113653	1.204	2.41	
0.124177	1.207	2.415	
0.132595	1.209	2.42	
0.119967	1.212	2.425	
0.0862922	1.214	2.43	
0.0652453	1.217	2.435	
0.0905016	1.219	2.44	
0.0715594	1.222	2.445	
0.0757688	1.224	2.45	
0.0715594	1.227	2.455	
0.0778734	1.229	2.46	
0.0862922	1.232	2.465	
0.0799781	1.234	2.47	
0.0989203	1.237	2.475	
0.109444	1.239	2.48	
0.0841875	1.242	2.485	
0.0883969	1.244	2.49	
0.0883969	1.247	2.495	
0.0715594	1.249	2.5	
0.0715594	1.252	2.505	
0.0357797	1.254	2.51	
0.0526172	1.257	2.515	
0.0778734	1.259	2.52	
0.0736641	1.262	2.525	
0.0841875	1.264	2.53	
0.0947109	1.267	2.535	
0.107339	1.269	2.54	
0.105234	1.272	2.545	
0.113653	1.274	2.55	
0.126281	1.277	2.555	
0.122072	1.279	2.56	
0.122072	1.282	2.565	
0.10313	1.284	2.57	
0.107339	1.287	2.575	
0.107339	1.289	2.58	
0.0841875	1.292	2.585	
0.0862922	1.294	2.59	
0.0883969	1.297	2.595	
0.113653	1.299	2.6	
0.06735	1.302	2.605	
0.0968156	1.304	2.61	
0.117863	1.307	2.615	
0.113653	1.309	2.62	
0.130491	1.312	2.625	
0.136805	1.314	2.63	
0.143119	1.317	2.635	
0.1347	1.319	2.64	
0.105234	1.322	2.645	
0.101025	1.324	2.65	
0.0862922	1.327	2.655	
0.0799781	1.329	2.66	
0.0926063	1.332	2.665	
0.0968156	1.334	2.67	
0.107339	1.337	2.675	
0.0989203	1.339	2.68	
0.0926063	1.342	2.685	
0.113653	1.344	2.69	
0.0757688	1.347	2.695	
0.0736641	1.349	2.7	
0.0841875	1.352	2.705	
0.0820828	1.354	2.71	
0.117863	1.357	2.715	
0.119967	1.359	2.72	
0.107339	1.362	2.725	
0.109444	1.364	2.73	
0.107339	1.367	2.735	
0.10313	1.369	2.74	
0.101025	1.372	2.745	
0.0652453	1.374	2.75	
0.0715594	1.377	2.755	
0.0757688	1.379	2.76	
0.0357797	1.382	2.765	
0.0505125	1.384	2.77	
0.0463031	1.387	2.775	
0.0631406	1.389	2.78	
0.0799781	1.392	2.785	
0.109444	1.394	2.79	
0.122072	1.397	2.795	
0.143119	1.399	2.8	
0.138909	1.402	2.805	
0.153642	1.404	2.81	
0.176794	1.407	2.815	
0.168375	1.409	2.82	
0.16627	1.412	2.825	
0.143119	1.414	2.83	
0.115758	1.417	2.835	
0.111548	1.419	2.84	
0.0652453	1.422	2.845	
0.033675	1.424	2.85	
0.0252563	1.427	2.855	
0.0484078	1.429	2.86	
0.0463031	1.432	2.865	
0.06735	1.434	2.87	
0.10313	1.437	2.875	
0.136805	1.439	2.88	
0.126281	1.442	2.885	
0.128386	1.444	2.89	
0.151538	1.447	2.895	
0.145223	1.449	2.9	
0.155747	1.452	2.905	
0.117863	1.454	2.91	
0.0989203	1.457	2.915	
0.105234	1.459	2.92	
0.0420938	1.462	2.925	
0.0105234	1.464	2.93	
0.0189422	1.467	2.935	
0.0210469	1.469	2.94	
0.0420938	1.472	2.945	
0.0757688	1.474	2.95	
0.115758	1.477	2.955	
0.155747	1.479	2.96	
0.138909	1.482	2.965	
0.162061	1.484	2.97	
0.143119	1.487	2.975	
0.132595	1.489	2.98	
0.117863	1.492	2.985	
0.10313	1.494	2.99	
0.101025	1.497	2.995	
0.0736641	1.499	3	
0.0715594	1.502	3.005	
0.0778734	1.504	3.01	
0.0652453	1.507	3.015	
0.0631406	1.509	3.02	
0.0757688	1.512	3.025	
0.0968156	1.514	3.03	
0.101025	1.517	3.035	
0.122072	1.519	3.04	
0.0883969	1.522	3.045	
0.101025	1.524	3.05	
0.10313	1.527	3.055	
0.0715594	1.529	3.06	
0.0841875	1.532	3.065	
0.0757688	1.534	3.07	
0.0883969	1.537	3.075	
0.101025	1.539	3.08	
0.0883969	1.542	3.085	
0.109444	1.544	3.09	
0.119967	1.547	3.095	
0.0883969	1.549	3.1	
0.0947109	1.552	3.105	
0.0883969	1.554	3.11	
0.111548	1.557	3.115	
0.117863	1.559	3.12	
0.06735	1.562	3.125	
0.0526172	1.564	3.13	
0.0463031	1.567	3.135	
0.0589313	1.569	3.14	
0.0420938	1.572	3.145	
0.0294656	1.574	3.15	
0.0694547	1.577	3.155	
0.111548	1.579	3.16	
0.0968156	1.582	3.165	
0.109444	1.584	3.17	
0.124177	1.587	3.175	
0.113653	1.589	3.18	
0.109444	1.592	3.185	
0.0883969	1.594	3.19	
0.0989203	1.597	3.195	
0.0799781	1.599	3.2	
0.0631406	1.602	3.205	
0.0883969	1.604	3.21	
0.101025	1.607	3.215	
0.101025	1.609	3.22	
0.10313	1.612	3.225	
0.101025	1.614	3.23	
0.111548	1.617	3.235	
0.113653	1.619	3.24	
0.105234	1.622	3.245	
0.119967	1.624	3.25	
0.113653	1.627	3.255	
0.105234	1.629	3.26	
0.0947109	1.632	3.265	
0.107339	1.634	3.27	
0.10313	1.637	3.275	
0.0694547	1.639	3.28	
0.0631406	1.642	3.285	
0.0947109	1.644	3.29	
0.0883969	1.647	3.295	
0.06735	1.649	3.3	
0.107339	1.652	3.305	
0.145223	1.654	3.31	
0.132595	1.657	3.315	
0.136805	1.659	3.32	
0.113653	1.662	3.325	
0.1347	1.664	3.33	
0.115758	1.667	3.335	
0.06735	1.669	3.34	
0.0883969	1.672	3.345	
0.0926063	1.674	3.35	
0.0778734	1.677	3.355	
0.0652453	1.679	3.36	
0.0547219	1.682	3.365	
0.0589313	1.684	3.37	
0.0757688	1.687	3.375	
0.0589313	1.689	3.38	
0.122072	1.692	3.385	
0.115758	1.694	3.39	
0.153642	1.697	3.395	
0.141014	1.699	3.4	
0.159956	1.702	3.405	
0.164166	1.704	3.41	
0.122072	1.707	3.415	
0.0841875	1.709	3.42	
0.0905016	1.712	3.425	
0.0841875	1.714	3.43	
0.0694547	1.717	3.435	
0.0526172	1.719	3.44	
0.0420938	1.722	3.445	
0.0926063	1.724	3.45	
0.0905016	1.727	3.455	
0.0778734	1.729	3.46	
0.101025	1.732	3.465	
0.119967	1.734	3.47	
0.124177	1.737	3.475	
0.145223	1.739	3.48	
0.138909	1.742	3.485	
0.147328	1.744	3.49	
0.130491	1.747	3.495	
0.113653	1.749	3.5	
0.107339	1.752	3.505	
0.109444	1.754	3.51	
0.0926063	1.757	3.515	
0.0589313	1.759	3.52	
0.0547219	1.762	3.525	
0.0505125	1.764	3.53	
0.0463031	1.767	3.535	
0.033675	1.769	3.54	
0.0715594	1.772	3.545	
0.0757688	1.774	3.55	
0.0757688	1.777	3.555	
0.126281	1.779	3.56	
0.153642	1.782	3.565	
0.159956	1.784	3.57	
0.119967	1.787	3.575	
0.117863	1.789	3.58	
0.115758	1.792	3.585	
0.0799781	1.794	3.59	
0.06735	1.797	3.595	
0.0799781	1.799	3.6	
0.0757688	1.802	3.605	
0.0947109	1.804	3.61	
0.0841875	1.807	3.615	
0.0736641	1.809	3.62	
0.109444	1.812	3.625	
0.0947109	1.814	3.63	
0.0841875	1.817	3.635	
0.0989203	1.819	3.64	
0.128386	1.822	3.645	
0.124177	1.824	3.65	
0.115758	1.827	3.655	
0.124177	1.829	3.66	
0.132595	1.832	3.665	
0.111548	1.834	3.67	
0.109444	1.837	3.675	
0.0989203	1.839	3.68	
0.0778734	1.842	3.685	
0.0568266	1.844	3.69	
0.0883969	1.847	3.695	
0.0926063	1.849	3.7	
0.113653	1.852	3.705	
0.115758	1.854	3.71	
0.130491	1.857	3.715	
0.157852	1.859	3.72	
0.130491	1.862	3.725	
0.0862922	1.864	3.73	
0.0526172	1.867	3.735	
0.0820828	1.869	3.74	
0.0694547	1.872	3.745	
0.06735	1.874	3.75	
0.113653	1.877	3.755	
0.141014	1.879	3.76	
0.1347	1.882	3.765	
0.141014	1.884	3.77	
0.153642	1.887	3.775	
0.143119	1.889	3.78	
0.113653	1.892	3.785	
0.06735	1.894	3.79	
0.0883969	1.897	3.795	
0.0862922	1.899	3.8	
0.0420938	1.902	3.805	
0.0526172	1.904	3.81	
0.0841875	1.907	3.815	
0.0968156	1.909	3.82	
0.0926063	1.912	3.825	
0.0757688	1.914	3.83	
0.119967	1.917	3.835	
0.145223	1.919	3.84	
0.0989203	1.922	3.845	
0.117863	1.924	3.85	
0.1347	1.927	3.855	
0.138909	1.929	3.86	
0.130491	1.932	3.865	
0.111548	1.934	3.87	
0.130491	1.937	3.875	
0.115758	1.939	3.88	
0.06735	1.942	3.885	
0.0526172	1.944	3.89	
0.0652453	1.947	3.895	
0.0568266	1.949	3.9	
0.0631406	1.952	3.905	
0.0862922	1.954	3.91	
0.117863	1.957	3.915	
0.1347	1.959	3.92	
0.126281	1.962	3.925	
0.155747	1.964	3.93	
0.143119	1.967	3.935	
0.138909	1.969	3.94	
0.111548	1.972	3.945	
0.105234	1.974	3.95	
0.0799781	1.977	3.955	
0.0820828	1.979	3.96	
0.0694547	1.982	3.965	
0.0862922	1.984	3.97	
0.0905016	1.987	3.975	
0.105234	1.989	3.98	
0.130491	1.992	3.985	
0.159956	1.994	3.99	
0.176794	1.997	3.995	
0.189422	1.999	4	
0.168375	2.002	4.005	
0.172584	2.004	4.01	
0.149433	2.007	4.015	
0.0968156	2.009	4.02	
0.0820828	2.012	4.025	
0.0463031	2.014	4.03	
0.0231516	2.017	4.035	
0.0273609	2.019	4.04	
0.0189422	2.022	4.045	
0.0526172	2.024	4.05	
0.0694547	2.027	4.055	
