frame_stiffness_no_sample1	frame_stiffness_no_sample1	frame_stiffness_no_sample1	
Force	Distance	Time	
g	mm	sec	

-0.0294702	0.018	1.825	
-0.265232	0.018	1.83	
-0.124196	0.018	1.835	
0.0610454	0.018	1.84	
-0.0484154	0.018	1.845	
-0.153666	0.018	1.85	
0.0926207	0.018	1.855	
0.385218	0.018	1.86	
0.269442	0.018	1.865	
0.0231552	0.018	1.87	
0.0947257	0.018	1.875	
0.233657	0.018	1.88	
0.0863056	0.018	1.885	
-0.0884106	0.018	1.89	
0.0547304	0.018	1.895	
0.261022	0.018	1.9	
0.159981	0.019	1.905	
-0.0399953	0.019	1.91	
0.0189451	0.019	1.915	
0.132616	0.019	1.92	
-0.0652555	0.019	1.925	
-0.271547	0.019	1.93	
-0.0947257	0.019	1.935	
0.174716	0.019	1.94	
0.0989357	0.019	1.945	
-0.0126301	0.019	1.95	
0.168401	0.019	1.955	
0.366273	0.019	1.96	
0.141036	0.019	1.965	
-0.147351	0.019	1.97	
-0.0631505	0.019	1.975	
0.141036	0.019	1.98	
0.0778856	0.019	1.985	
-0.0736755	0.019	1.99	
0.0694655	0.019	1.995	
0.322067	0.019	2	
0.206291	0.02	2.005	
-0.0126301	0.02	2.01	
0.0694655	0.02	2.015	
0.265232	0.02	2.02	
0.0799906	0.02	2.025	
-0.149456	0.02	2.03	
-0.0168401	0.02	2.035	
0.221027	0.02	2.04	
0.0736755	0.02	2.045	
-0.183136	0.02	2.05	
-0.109461	0.02	2.055	
0.128406	0.02	2.06	
0.115776	0.02	2.065	
-0.0526254	0.02	2.07	
0.0357853	0.02	2.075	
0.269442	0.02	2.08	
0.216817	0.02	2.085	
-0.00842006	0.02	2.09	
-0.00631505	0.02	2.095	
0.109461	0.02	2.1	
0.00631505	0.021	2.105	
-0.0926207	0.021	2.11	
0.176821	0.021	2.115	
0.452578	0.021	2.12	
0.298912	0.021	2.125	
0.0231552	0.021	2.13	
0.0610454	0.021	2.135	
0.197871	0.021	2.14	
-0.00842006	0.021	2.145	
-0.336802	0.021	2.15	
-0.279967	0.021	2.155	
-0.0315752	0.021	2.16	
0.00210502	0.021	2.165	
-0.0884106	0.021	2.17	
0.0568354	0.021	2.175	
0.298912	0.021	2.18	
0.261022	0.021	2.185	
0.0778856	0.021	2.19	
0.122091	0.021	2.195	
0.229447	0.021	2.2	
0.0757805	0.022	2.205	
-0.136826	0.022	2.21	
0.0252602	0.022	2.215	
0.338907	0.022	2.22	
0.263127	0.022	2.225	
0.0273652	0.022	2.23	
0.0589404	0.022	2.235	
0.244182	0.022	2.24	
0.157876	0.022	2.245	
-0.0820956	0.022	2.25	
-0.0947257	0.022	2.255	
0.0189451	0.022	2.26	
-0.0484154	0.022	2.265	
-0.189451	0.022	2.27	
-0.103146	0.022	2.275	
0.0757805	0.022	2.28	
0.0863056	0.022	2.285	
0	0.022	2.29	
0.107356	0.022	2.295	
0.319962	0.022	2.3	
0.235762	0.023	2.305	
0.00631505	0.023	2.31	
0.0105251	0.023	2.315	
0.164191	0.023	2.32	
0.122091	0.023	2.325	
-0.0126301	0.023	2.33	
0.0799906	0.023	2.335	
0.265232	0.023	2.34	
0.250497	0.023	2.345	
0.0799906	0.023	2.35	
0.0378903	0.023	2.355	
0.0673605	0.023	2.36	
-0.0378903	0.023	2.365	
-0.189451	0.023	2.37	
-0.130511	0.023	2.375	
0.0147351	0.023	2.38	
0.0526254	0.023	2.385	
-0.0189451	0.023	2.39	
0.0947257	0.023	2.395	
0.290492	0.023	2.4	
0.296807	0.024	2.405	
0.115776	0.024	2.41	
0.0357853	0.024	2.415	
0.0526254	0.024	2.42	
-0.0589404	0.024	2.425	
-0.0989357	0.024	2.43	
0.0463103	0.024	2.435	
0.239972	0.024	2.44	
0.237867	0.024	2.445	
0.155771	0.024	2.45	
0.155771	0.024	2.455	
0.109461	0.024	2.46	
-0.0631505	0.024	2.465	
-0.206291	0.024	2.47	
-0.113671	0.024	2.475	
0.0294702	0.024	2.48	
0.0378903	0.024	2.485	
-0.0105251	0.024	2.49	
0.0736755	0.024	2.495	
0.176821	0.024	2.5	
0.136826	0.025	2.505	
0.0442053	0.025	2.51	
0.109461	0.025	2.515	
0.164191	0.025	2.52	
0.0610454	0.025	2.525	
0.0357853	0.025	2.53	
0.155771	0.025	2.535	
0.212607	0.025	2.54	
0.0715705	0.025	2.545	
0	0.025	2.55	
0.0631505	0.025	2.555	
0.0694655	0.025	2.56	
-0.0673605	0.025	2.565	
-0.115776	0.025	2.57	
0.0568354	0.025	2.575	
0.210502	0.025	2.58	
0.187346	0.025	2.585	
0.130511	0.025	2.59	
0.143141	0.025	2.595	
0.0905157	0.025	2.6	
-0.0842006	0.026	2.605	
-0.130511	0.026	2.61	
0.0357853	0.026	2.615	
0.132616	0.026	2.62	
0.0505204	0.026	2.625	
0.0505204	0.026	2.63	
0.244182	0.026	2.635	
0.279967	0.026	2.64	
0.0905157	0.026	2.645	
-0.0336802	0.026	2.65	
0.0652555	0.026	2.655	
0.101041	0.026	2.66	
-0.0673605	0.026	2.665	
-0.136826	0.026	2.67	
-0.0189451	0.026	2.675	
0.0842006	0.026	2.68	
0.0294702	0.026	2.685	
0.0336802	0.026	2.69	
0.168401	0.026	2.695	
0.202081	0.026	2.7	
0.0610454	0.027	2.705	
0.0168401	0.027	2.71	
0.202081	0.027	2.715	
0.221027	0.027	2.72	
-0.0294702	0.027	2.725	
-0.126301	0.027	2.73	
0.0757805	0.027	2.735	
0.191556	0.027	2.74	
0	0.027	2.745	
-0.0799906	0.027	2.75	
0.109461	0.027	2.755	
0.233657	0.027	2.76	
0.0589404	0.027	2.765	
-0.0378903	0.027	2.77	
0.109461	0.027	2.775	
0.168401	0.027	2.78	
