gelC_I_3mm11	gelC_I_3mm11	gelC_I_3mm11	
Force	Distance	Time	
g	mm	sec	

0.105186	0.017	1.8	
0	0.018	1.805	
-0.151468	0.018	1.81	
0.00631117	0.018	1.815	
0.166194	0.018	1.82	
0.0336596	0.018	1.825	
-0.145157	0.018	1.83	
0.00420744	0.018	1.835	
0.178816	0.018	1.84	
0.0546968	0.018	1.845	
-0.122016	0.018	1.85	
-0.0315558	0.018	1.855	
0.113601	0.018	1.86	
-0.0231409	0.018	1.865	
-0.244032	0.018	1.87	
-0.145157	0.018	1.875	
0.0715266	0.018	1.88	
0.0294521	0.018	1.885	
-0.0841489	0.018	1.89	
0.0399707	0.018	1.895	
0.208268	0.018	1.9	
0.0967712	0.019	1.905	
-0.109394	0.019	1.91	
-0.0631117	0.019	1.915	
0.0610079	0.019	1.92	
-0.0504893	0.019	1.925	
-0.170401	0.019	1.93	
0	0.019	1.935	
0.193542	0.019	1.94	
0.113601	0.019	1.945	
-0.0504893	0.019	1.95	
0.0105186	0.019	1.955	
0.109394	0.019	1.96	
0	0.019	1.965	
-0.166194	0.019	1.97	
-0.0420744	0.019	1.975	
0.134638	0.019	1.98	
0.0673191	0.019	1.985	
-0.0862526	0.019	1.99	
-0.0231409	0.019	1.995	
0.100979	0.019	2	
-0.037867	0.02	2.005	
-0.172505	0.02	2.01	
-0.0399707	0.02	2.015	
0.155675	0.02	2.02	
0.0673191	0.02	2.025	
-0.0652154	0.02	2.03	
0.0589042	0.02	2.035	
0.153572	0.02	2.04	
0.0126223	0.02	2.045	
-0.157779	0.02	2.05	
-0.0525931	0.02	2.055	
0.117808	0.02	2.06	
0.0441782	0.02	2.065	
-0.0862526	0.02	2.07	
0	0.02	2.075	
0.12412	0.02	2.08	
0.00631117	0.02	2.085	
-0.170401	0.02	2.09	
-0.0883563	0.02	2.095	
0.0420744	0.02	2.1	
-0.00631117	0.021	2.105	
-0.0946675	0.021	2.11	
0.0715266	0.021	2.115	
0.231409	0.021	2.12	
0.075734	0.021	2.125	
-0.0883563	0.021	2.13	
-0.00841489	0.021	2.135	
0.126223	0.021	2.14	
-0.0126223	0.021	2.145	
-0.149364	0.021	2.15	
-0.0168298	0.021	2.155	
0.132534	0.021	2.16	
0.0189335	0.021	2.165	
-0.128327	0.021	2.17	
-0.0504893	0.021	2.175	
0.0841489	0.021	2.18	
-0.0126223	0.021	2.185	
-0.140949	0.021	2.19	
-0.0315558	0.021	2.195	
0.115705	0.021	2.2	
0.0462819	0.022	2.205	
-0.0273484	0.022	2.21	
0.0988749	0.022	2.215	
0.220891	0.022	2.22	
0.0336596	0.022	2.225	
-0.149364	0.022	2.23	
-0.0231409	0.022	2.235	
0.0841489	0.022	2.24	
-0.0820452	0.022	2.245	
-0.187231	0.022	2.25	
0	0.022	2.255	
0.16409	0.022	2.26	
0.0357633	0.022	2.265	
-0.0883563	0.022	2.27	
0.0294521	0.022	2.275	
0.151468	0.022	2.28	
-0.0210372	0.022	2.285	
-0.16409	0.022	2.29	
-0.00420744	0.022	2.295	
0.153572	0.022	2.3	
0.0315558	0.023	2.305	
-0.0694228	0.023	2.31	
0.0925638	0.023	2.315	
0.225098	0.023	2.32	
0	0.023	2.325	
-0.208268	0.023	2.33	
-0.0462819	0.023	2.335	
0.0988749	0.023	2.34	
-0.0462819	0.023	2.345	
-0.176713	0.023	2.35	
0.0252447	0.023	2.355	
0.229306	0.023	2.36	
0.0694228	0.023	2.365	
-0.09046	0.023	2.37	
0.0399707	0.023	2.375	
0.147261	0.023	2.38	
-0.0294521	0.023	2.385	
-0.222995	0.023	2.39	
-0.0736303	0.023	2.395	
0.140949	0.023	2.4	
0.0525931	0.024	2.405	
-0.0883563	0.024	2.41	
0.0820452	0.024	2.415	
0.210372	0.024	2.42	
0.0126223	0.024	2.425	
-0.193542	0.024	2.43	
-0.0420744	0.024	2.435	
0.126223	0.024	2.44	
0.00841489	0.024	2.445	
-0.105186	0.024	2.45	
0.0294521	0.024	2.455	
0.204061	0.024	2.46	
0.0673191	0.024	2.465	
-0.12412	0.024	2.47	
-0.0168298	0.024	2.475	
0.130431	0.024	2.48	
-0.0357633	0.024	2.485	
-0.21458	0.024	2.49	
-0.0799414	0.024	2.495	
0.109394	0.024	2.5	
0.0357633	0.025	2.505	
-0.0967712	0.025	2.51	
0.0631117	0.025	2.515	
0.218787	0.025	2.52	
0.0294521	0.025	2.525	
-0.172505	0.025	2.53	
-0.0462819	0.025	2.535	
0.128327	0.025	2.54	
0.0231409	0.025	2.545	
-0.115705	0.025	2.55	
0.0357633	0.025	2.555	
0.193542	0.025	2.56	
0.0336596	0.025	2.565	
-0.155675	0.025	2.57	
-0.0778377	0.025	2.575	
0.0778377	0.025	2.58	
-0.0189335	0.025	2.585	
-0.168298	0.025	2.59	
-0.0294521	0.025	2.595	
0.153572	0.025	2.6	
0.0441782	0.026	2.605	
-0.109394	0.026	2.61	
0.0126223	0.026	2.615	
0.178816	0.026	2.62	
0.0504893	0.026	2.625	
-0.111497	0.026	2.63	
0.0147261	0.026	2.635	
0.183024	0.026	2.64	
0.0420744	0.026	2.645	
-0.166194	0.026	2.65	
-0.0946675	0.026	2.655	
0.0589042	0.026	2.66	
-0.0420744	0.026	2.665	
-0.183024	0.026	2.67	
-0.0420744	0.026	2.675	
0.145157	0.026	2.68	
0.0525931	0.026	2.685	
-0.113601	0.026	2.69	
-0.0168298	0.026	2.695	
0.132534	0.026	2.7	
0.0315558	0.027	2.705	
-0.103082	0.027	2.71	
0.037867	0.027	2.715	
0.21458	0.027	2.72	
0.0568005	0.027	2.725	
-0.132534	0.027	2.73	
-0.0210372	0.027	2.735	
0.122016	0.027	2.74	
-0.0147261	0.027	2.745	
-0.189335	0.027	2.75	
-0.0715266	0.027	2.755	
0.103082	0.027	2.76	
0.00420744	0.027	2.765	
-0.161987	0.027	2.77	
-0.0610079	0.027	2.775	
0.10729	0.027	2.78	
0.0315558	0.027	2.785	
-0.100979	0.027	2.79	
-0.00631117	0.027	2.795	
0.155675	0.027	2.8	
0.0483856	0.028	2.805	
-0.105186	0.028	2.81	
0.0231409	0.028	2.815	
0.145157	0.028	2.82	
-0.0105186	0.028	2.825	
-0.172505	0.028	2.83	
-0.0273484	0.028	2.835	
0.145157	0.028	2.84	
0.0147261	0.028	2.845	
-0.138846	0.028	2.85	
-0.00841489	0.028	2.855	
0.138846	0.028	2.86	
0.00841489	0.028	2.865	
-0.161987	0.028	2.87	
-0.0399707	0.028	2.875	
0.122016	0.028	2.88	
0.0399707	0.028	2.885	
-0.126223	0.028	2.89	
-0.0168298	0.028	2.895	
0.126223	0.028	2.9	
-0.00420744	0.029	2.905	
-0.157779	0.029	2.91	
-0.0147261	0.029	2.915	
0.153572	0.029	2.92	
0.0294521	0.029	2.925	
-0.140949	0.029	2.93	
