gel_from_2_251	gel_from_2_251	gel_from_2_251	
Force	Distance	Time	
g	mm	sec	

0.206165	0.043	4.305	
0.037867	0.043	4.31	
0.149364	0.043	4.315	
0.260862	0.043	4.32	
0.0799414	0.043	4.325	
-0.0715266	0.043	4.33	
0.0925638	0.043	4.335	
0.262965	0.043	4.34	
0.115705	0.043	4.345	
-0.0126223	0.043	4.35	
0.138846	0.043	4.355	
0.256654	0.043	4.36	
0.0925638	0.043	4.365	
-0.075734	0.043	4.37	
0.0988749	0.043	4.375	
0.307143	0.043	4.38	
0.229306	0.043	4.385	
0.075734	0.043	4.39	
0.210372	0.043	4.395	
0.317662	0.043	4.4	
0.153572	0.044	4.405	
-0.0294521	0.044	4.41	
0.09046	0.044	4.415	
0.220891	0.044	4.42	
0.0631117	0.044	4.425	
-0.0546968	0.044	4.43	
0.157779	0.044	4.435	
0.338699	0.044	4.44	
0.172505	0.044	4.445	
-0.0231409	0.044	4.45	
0.117808	0.044	4.455	
0.27138	0.044	4.46	
0.103082	0.044	4.465	
-0.0357633	0.044	4.47	
0.159883	0.044	4.475	
0.368151	0.044	4.48	
0.241928	0.044	4.485	
0.0483856	0.044	4.49	
0.145157	0.044	4.495	
0.248239	0.044	4.5	
0.0673191	0.045	4.505	
-0.100979	0.045	4.51	
0.111497	0.045	4.515	
0.332388	0.045	4.52	
0.176713	0.045	4.525	
-0.0147261	0.045	4.53	
0.134638	0.045	4.535	
0.28821	0.045	4.54	
0.0946675	0.045	4.545	
-0.111497	0.045	4.55	
0.0189335	0.045	4.555	
0.267173	0.045	4.56	
0.178816	0.045	4.565	
0.0525931	0.045	4.57	
0.208268	0.045	4.575	
0.357633	0.045	4.58	
0.216683	0.045	4.585	
-0.0357633	0.045	4.59	
0.0462819	0.045	4.595	
0.193542	0.045	4.6	
0.113601	0.046	4.605	
-0.00420744	0.046	4.61	
0.193542	0.046	4.615	
0.384981	0.046	4.62	
0.218787	0.046	4.625	
