Time (s)	Load (gf)	Displacement (mm)
26,294	4	2,618
26,315	4	2,62
26,333	4	2,622
26,353	4	2,624
26,373	4	2,626
26,396	4	2,628
26,416	4	2,63
26,438	4	2,633
26,463	4	2,634
26,477	4	2,636
26,499	4	2,639
26,52	4	2,641
26,541	4	2,643
26,56	4	2,644
26,582	4	2,646
26,595	4	2,648
26,617	4	2,65
26,647	4	2,654
26,67	4	2,656
26,692	4	2,658
26,714	4	2,66
26,734	6	2,662
26,754	6	2,664
26,775	4	2,666
26,796	4	2,669
26,82	4	2,67
26,836	4	2,672
26,853	4	2,674
26,88	4	2,677
26,901	4	2,679
26,922	4	2,681
26,947	4	2,683
26,968	4	2,686
26,989	4	2,687
27,007	4	2,689
27,027	4	2,692
27,048	4	2,694
27,069	4	2,696
27,087	4	2,697
27,107	4	2,7
27,127	4	2,702
27,154	4	2,704
27,178	4	2,706
27,199	6	2,708
27,218	4	2,711
27,239	4	2,713
27,259	4	2,714
27,274	4	2,716
27,297	4	2,718
27,316	4	2,721
27,343	4	2,723
27,365	4	2,725
27,389	4	2,727
27,403	4	2,73
27,435	4	2,733
27,458	4	2,735
27,479	4	2,737
27,499	4	2,739
27,521	4	2,741
27,542	4	2,743
27,565	4	2,745
27,581	4	2,746
27,597	4	2,748
27,617	4	2,752
27,646	4	2,754
27,67	4	2,756
27,692	4	2,758
27,715	4	2,76
27,735	4	2,762
27,755	4	2,764
27,775	4	2,767
27,801	4	2,769
27,821	4	2,77
27,833	4	2,771
27,852	4	2,774
27,88	4	2,777
27,905	4	2,779
27,926	4	2,781
27,948	4	2,783
27,963	4	2,785
27,982	4	2,788
28,009	4	2,79
28,037	4	2,793
28,064	4	2,795
28,086	4	2,796
28,099	4	2,799
28,127	4	2,802
28,151	4	2,804
28,173	4	2,806
28,192	4	2,808
28,212	4	2,81
28,234	4	2,812
28,257	4	2,815
28,28	4	2,817
28,303	4	2,819
28,324	4	2,821
28,343	4	2,823
28,36	4	2,824
28,379	4	2,828
28,41	4	2,83
28,43	4	2,833
28,46	4	2,834
28,474	4	2,846
28,591	6	2,848
28,608	4	2,849
28,621	4	2,851
28,641	4	2,853
28,666	4	2,856
28,689	4	2,858
28,717	4	2,86
28,738	4	2,862
28,752	6	2,864
28,774	4	2,866
28,794	4	2,868
28,814	4	2,87
28,835	4	2,872
28,86	4	2,875
28,885	4	2,876
28,901	4	2,879
28,928	4	2,882
28,952	6	2,884
28,977	6	2,886
28,999	6	2,888
29,012	6	2,889
29,024	4	2,89
29,045	4	2,893
29,065	4	2,895
29,089	6	2,898
29,11	6	2,9
29,133	6	2,901
29,152	6	2,904
29,175	6	2,906
29,197	6	2,908
29,217	6	2,91
29,238	4	2,913
29,261	6	2,915
29,283	4	2,917
29,304	6	2,919
29,324	6	2,92
29,341	6	2,923
29,369	6	2,926
29,394	6	2,928
29,416	4	2,931
29,442	4	2,933
29,462	6	2,934
29,48	6	2,936
29,496	4	2,939
29,524	6	2,941
29,549	6	2,943
29,573	6	2,946
29,593	6	2,948
29,613	6	2,95
29,636	6	2,952
29,659	4	2,954
29,678	6	2,957
29,702	6	2,958
29,717	6	2,961
29,743	4	2,962
29,761	6	2,964
29,79	6	2,967
29,811	6	2,969
29,826	6	2,971
29,844	6	2,973
29,875	6	2,977
29,899	6	2,979
29,921	6	2,981
29,947	6	2,983
29,966	4	2,985
29,987	6	2,987
30,008	6	2,989
30,029	6	2,992
30,052	6	2,994
30,073	6	2,996
30,093	6	2,998
30,111	6	2,999
30,124	6	3,002
30,158	6	3,005
30,184	6	3,006
30,202	6	3,008
30,222	6	3,011
30,243	6	3,013
30,263	6	3,015
30,286	6	3,017
30,306	6	3,019
30,325	6	3,021
30,346	6	3,023
30,364	6	3,024
30,377	6	3,027
30,402	6	3,029
30,423	6	3,031
30,448	6	3,034
30,477	6	3,036
30,497	6	3,038
30,518	6	3,04
30,538	6	3,042
30,56	6	3,044
